name,team,pos,gp,mpg,fgp,fga,ftp,fta,tpm,pts,reb,ast,stl,blk,tov
Ryan Rollins,MIL,"PG,SG",66,24,0.460,8.5,0.800,1.5,1.3,10.5,3.0,4.0,1.2,0.3,1.4
Taylor Hendricks,MEM,PF,66,24,0.470,8.0,0.750,2.0,1.1,10.5,5.5,1.2,0.7,0.9,0.9
Goga Bitadze,ORL,C,62,20,0.570,5.5,0.680,2.0,0.0,7.5,6.5,1.5,0.6,1.2,1.0
Tristan da Silva,ORL,SF,68,24,0.450,8.5,0.800,1.5,1.4,10.5,4.0,2.0,0.6,0.2,1.0
Ron Holland,DET,SF,68,24,0.470,9.0,0.700,2.5,0.8,11.5,4.5,2.0,1.1,0.4,1.4
Jusuf Nurkic,UTA,C,60,18,0.500,6.0,0.700,2.0,0.2,7.5,6.0,2.0,0.6,0.7,1.3
LeBron James,PHI,"SF,PF",55,29,0.500,12.0,0.740,3.5,1.2,16.0,5.5,6.0,0.9,0.5,2.6
Miles Bridges,PHX,PF,72,31,0.460,13.5,0.820,3.3,1.9,17.0,6.0,3.0,0.7,0.4,1.5
Day'Ron Sharpe,BKN,C,68,28.2,0.563,8.6,0.704,2.9,0.3,11.9,9.4,3.0,1.4,0.9,2.2
Ty Jerome,MEM,"SG,PG",60,27.4,0.506,11.7,0.874,2.9,2.2,16.4,3.0,4.5,1.3,0.1,1.7
Kyshawn George,WAS,"SF,SG,PF",68,29.0,0.406,10.3,0.785,2.1,2.0,11.9,4.9,3.5,1.1,0.9,2.0
Peyton Watson,CLE,"SF,PF",70,30.1,0.474,9.6,0.717,3.0,1.2,12.5,4.7,1.9,0.9,1.4,1.4
Sandro Mamukelashvili,LAL,"PF,C",74,25.8,0.517,9.8,0.749,2.3,1.9,13.7,6.2,2.1,0.9,0.6,1.0
Cedric Coward,MEM,"SG,SF",70,28.8,0.450,13.3,0.844,3.0,1.8,16.3,6.6,3.1,0.7,0.5,1.9
Collin Murray-Boyles,TOR,"PF,C",68,28.0,0.579,7.8,0.657,2.5,0.4,11.0,6.5,2.4,1.2,1.2,1.3
Maxime Raynaud,SAC,C,72,23.2,0.571,8.0,0.785,2.0,0.3,11.0,6.6,1.2,0.5,0.5,1.1
Saddiq Bey,NOP,"PF,SF",72,29.2,0.451,12.7,0.842,3.9,2.0,16.7,5.3,2.4,0.9,0.1,0.9
Ajay Mitchell,OKC,"PG,SG",68,30.1,0.487,11.4,0.865,2.9,1.2,14.8,3.8,4.0,1.4,0.3,1.6
Paul Reed,DET,"C,PF",69,17.9,0.585,6.5,0.693,2.1,0.3,9.3,5.6,1.7,1.3,1.2,1.1
Collin Gillespie,PHX,"PG,SG",75,26.4,0.420,9.7,0.868,1.1,2.6,11.7,3.9,4.4,1.2,0.2,1.4
Morez Johnson Jr.,DAL,PF,50,18.5,0.507,5.2,0.770,2.1,0.2,7.1,4.2,0.6,0.4,0.6,0.7
Robert Williams III,POR,C,60,17.1,0.691,4.2,0.660,0.9,0.1,6.5,6.8,1.0,0.6,1.5,0.8
Keaton Wagler,LAC,SG,72,30,0.430,13.5,0.820,3.5,2.3,16.5,3.8,3.8,0.9,0.3,2.4
Deandre Ayton,WAS,C,62,28,0.585,10.5,0.700,3.0,0.1,13.5,9.5,1.8,0.6,1.0,1.7
Adem Bona,PHI,C,70,19,0.630,4.0,0.630,2.4,0.0,5.5,4.8,0.9,0.6,1.3,0.9
Duncan Robinson,DET,"SG,SF",70,28,0.440,9.5,0.870,1.5,3.0,12.5,3.0,2.3,0.6,0.2,1.2
Julian Champagnie,SAS,"SF,PF",76,24,0.440,8.0,0.830,1.4,2.1,10.5,4.3,1.5,0.9,0.4,0.9
Allen Graves,TOR,PF,65,18,0.450,5.5,0.780,1.2,1.2,7.0,4.2,1.2,0.7,0.6,0.8
Tre Jones,CHI,"PG,SG",70,26,0.475,10.0,0.815,2.6,0.9,12.5,3.3,5.0,1.1,0.2,1.4
Joan Beringer,MIN,C,74,18,0.610,4.5,0.640,1.8,0.0,6.0,5.0,0.8,0.5,1.4,0.9
Isaiah Joe,DET,SG,76,24,0.435,8.5,0.880,1.6,2.8,11.5,2.6,1.4,0.7,0.2,0.8
Naji Marshall,DAL,"SF,PF",72,26,0.500,10.5,0.750,2.8,0.9,13.5,4.4,2.8,1.0,0.4,1.5
Jay Huff,IND,C,70,17,0.520,5.5,0.780,1.2,1.3,7.5,3.8,0.8,0.4,1.3,0.7
Bronny James,LAL,"PG,SG",52,6,0.375,1.9,0.818,0.2,0.3,1.9,0.4,0.8,0.3,0.1,0.4
Al Horford,GSW,"PF,C",62,19,0.465,7.5,0.800,1.0,1.7,9.5,5.5,2.0,0.6,0.9,0.9
Aday Mara,OKC,C,60,12,0.563,3.4,0.575,1.4,0.0,4.7,2.6,0.9,0.1,1.0,0.7
Luke Kennard,PHX,"SG,SF",68,24,0.505,6.7,0.901,1.0,1.8,9.5,2.8,3.0,0.8,0.1,1.1
Johni Broome,LAC,C,42,10,0.500,3.2,0.650,0.8,0.2,3.8,2.8,0.5,0.4,0.4,0.5
Aaron Wiggins,ATL,"SG,SF",68,22,0.463,8.9,0.795,1.2,1.6,10.7,3.5,1.7,0.9,0.3,1.1
Brayden Burries,MIL,SG,68,24,0.466,8.0,0.814,2.6,1.2,10.7,2.9,1.5,0.9,0.1,0.9
Daniss Jenkins,DET,"PG,SG",71,20,0.406,7.9,0.821,2.2,1.0,9.3,2.3,3.8,0.8,0.2,1.6
Oso Ighodaro,PHX,C,78,20,0.635,4.0,0.494,1.2,0.0,5.6,4.5,1.9,0.7,0.7,1.1
Scotty Pippen Jr.,MEM,PG,65,24,0.475,8.8,0.720,2.5,1.3,11.4,3.6,5.1,1.5,0.5,2.1
Miles McBride,NYK,"PG,SG",72,24,0.414,8.4,0.800,1.0,2.1,9.8,2.3,2.6,0.9,0.3,0.7
T.J. McConnell,IND,PG,72,18,0.528,8.0,0.771,0.8,0.2,9.3,2.4,4.7,1.0,0.2,1.2
Jalen Smith,CHI,"PF,C",62,19,0.474,7.6,0.771,1.7,1.4,9.9,6.7,1.2,0.3,0.8,0.9
Kris Dunn,LAC,"PG,SG",68,24,0.457,5.5,0.734,0.6,1.0,6.5,3.1,3.0,1.6,0.3,1.1
Max Christie,DAL,"SG,SF",74,28,0.435,8.4,0.878,1.9,1.9,10.7,3.2,1.9,0.7,0.4,1.2
Ryan Kalkbrenner,CHA,C,68,16,0.753,3.3,0.717,1.3,0.0,5.8,4.2,0.6,0.3,1.1,0.7
Noah Clowney,BKN,"PF,C",68,20,0.382,7.2,0.813,2.2,1.6,8.8,3.2,1.1,0.5,0.5,1.1
Luke Kornet,SAS,C,72,18,0.657,3.5,0.765,1.3,0.0,5.6,5.1,1.6,0.4,0.9,0.4
Tim Hardaway Jr.,MIA,"SG,SF",72,26,0.420,10.0,0.865,1.5,2.3,12.0,2.8,1.6,0.6,0.2,0.9
Jake LaRavia,LAL,"SF,PF",72,24,0.465,6.5,0.728,2.0,1.0,8.6,4.5,2.3,1.3,0.5,1.3
Dylan Cardwell,SAC,"PF,C",65,18,0.587,3.6,0.511,1.0,0.0,4.8,6.7,1.2,0.6,1.4,0.8
Jaxson Hayes,UTA,C,65,17,0.739,3.7,0.640,1.8,0.0,6.6,4.1,0.9,0.4,0.8,0.5
Kevin Huerter,DET,"SG,SF",65,16,0.439,6.2,0.753,0.6,1.2,7.1,2.3,1.7,0.7,0.3,0.8
Sam Merrill,CLE,"SG,SF",68,24,0.430,8.0,0.840,1.2,2.2,10.5,2.6,2.0,0.7,0.2,1.0
Tony Bradley,ATL,C,40,10,0.557,3.2,0.700,0.8,0.0,3.7,2.6,0.5,0.3,0.5,0.5
Isaiah Jackson,LAC,C,60,14,0.635,3.7,0.631,1.7,0.0,5.8,4.5,0.9,0.6,0.9,0.9
Jaylon Tyson,CLE,"SG,SF,PF",72,24,0.481,8.7,0.744,1.5,1.7,11.1,4.6,2.0,0.7,0.3,1.3
Jarace Walker,IND,"SF,PF",72,22,0.437,7.7,0.728,1.8,1.5,9.5,4.4,2.2,0.8,0.4,1.6
Ja'Kobe Walter,TOR,"PG,SG",73,22,0.425,6.8,0.791,1.5,1.6,8.6,3.0,1.5,1.0,0.2,0.7
Jordan Goodwin,PHX,"PG,SG",75,25,0.417,8.4,0.706,0.8,1.7,9.2,5.5,2.4,1.7,0.4,1.2
Jaylin Williams,OKC,"PF,C",65,16,0.428,4.5,0.790,1.0,1.2,5.9,4.3,2.2,0.4,0.6,0.8
Quinten Post,MEM,C,68,18,0.450,7.5,0.790,1.2,1.7,9.5,5.0,1.8,0.5,0.6,1.1
Moritz Wagner,BKN,C,65,18,0.503,8.1,0.760,3.3,0.9,11.6,4.8,1.3,0.8,0.2,1.2
Kobe Sanders,LAC,"SG,SF",60,14,0.466,4.0,0.829,0.8,0.8,5.2,1.6,1.2,0.5,0.1,0.8
Dennis Schroder,CHA,"PG,SG",71,22,0.430,8.5,0.850,2.1,1.3,10.5,2.3,4.5,0.8,0.1,1.9
Cam Spencer,MEM,"PG,SG",68,21,0.465,6.9,0.947,1.7,1.8,9.8,2.3,4.7,0.7,0.2,1.1
Karlo Matkovic,NOP,"PF,C",64,15,0.589,4.2,0.754,0.8,0.5,6.0,3.9,0.9,0.4,0.9,0.7
Baylor Scheierman,BOS,"SG,SF",75,22,0.430,5.4,0.861,0.6,1.5,6.6,4.1,1.9,0.7,0.1,0.7
Gui Santos,GSW,"SF,PF",72,27,0.488,8.1,0.715,2.1,1.4,10.8,5.6,3.0,1.1,0.4,1.8
Justin Champagnie,WAS,"SF,PF",73,20,0.506,6.5,0.740,1.3,0.9,8.4,5.5,1.0,0.9,0.6,0.8
Javonte Green,DET,"SG,SF",70,14,0.438,3.7,0.793,1.0,0.8,4.8,2.4,0.6,0.9,0.3,0.4
Harrison Barnes,SAS,PF,73,18,0.484,5.4,0.814,1.4,1.2,7.7,2.2,1.2,0.4,0.1,0.4
Moses Moody,GSW,"SG,SF,PF",20,22,0.440,9.5,0.820,2.0,1.8,12.0,3.2,1.8,0.8,0.4,1.1
Precious Achiuwa,SAC,"PF,C",72,22,0.519,6.9,0.566,1.5,0.3,8.4,6.0,1.1,0.8,0.7,0.8
Gary Payton II,GSW,"SG,SF",65,14,0.580,5.0,0.677,0.5,0.4,6.7,3.2,1.5,0.9,0.3,0.7
Bruce Brown,NYK,"PG,SG",45,14,0.450,4.8,0.720,0.8,0.7,5.5,2.5,1.8,0.6,0.2,0.8
Ziaire Williams,LAL,"SG,SF",68,18,0.440,9.0,0.780,2.0,1.5,11.5,4.6,1.8,0.9,0.5,1.4
Dominick Barlow,PHI,"PF,C",68,18,0.538,4.5,0.703,1.5,0.3,6.1,3.7,1.0,0.7,0.6,0.6
Jamal Shead,TOR,PG,79,20,0.386,6.1,0.781,1.1,1.0,6.6,1.6,4.6,0.8,0.2,1.4
John Konchar,NYK,"SG,SF",42,12,0.465,2.1,0.760,0.4,0.4,2.7,2.8,1.2,0.9,0.4,0.4
Jose Alvarado,NYK,PG,72,18,0.430,7.0,0.810,1.2,1.3,8.5,2.2,3.5,1.5,0.2,1.3
Dru Smith,MIA,"PG,SG",68,16,0.430,4.3,0.824,1.3,0.6,5.4,2.3,2.2,1.3,0.3,0.8
Pelle Larsson,MIA,"SG,SF",75,26,0.480,7.6,0.771,2.9,0.9,10.5,3.3,3.0,0.9,0.3,1.3
Vit Krejci,POR,"SG,SF",58,14,0.466,4.0,0.729,0.5,1.2,5.3,1.7,1.4,0.5,0.3,0.5
Jock Landale,ATL,C,68,22,0.519,7.5,0.643,1.9,1.0,10.0,5.7,1.7,0.6,0.6,0.9
Dean Wade,PHI,"SF,PF",68,20,0.427,4.4,0.630,0.5,1.2,5.2,3.9,1.3,0.7,0.3,0.3
Isaac Okoro,CHI,"SG,SF",60,16,0.462,4.3,0.773,0.9,0.7,5.4,1.8,1.0,0.4,0.2,0.4
Brandon Williams,GSW,PG,65,18,0.450,8.5,0.800,2.2,1.2,10.5,2.4,3.2,0.6,0.2,1.5
Ryan Dunn,PHX,"SF,PF",68,18,0.440,5.6,0.492,0.5,0.9,6.0,3.7,1.1,0.7,0.4,0.6
Mouhamed Gueye,ATL,"PF,C",52,18,0.440,4.9,0.698,1.1,0.7,5.7,4.4,1.0,0.9,0.8,0.5
Simone Fontecchio,MIA,"SF,PF",68,16,0.407,5.8,0.836,1.3,1.4,7.2,2.9,1.1,0.5,0.2,0.7
Kentavious Caldwell-Pope,PHI,"SG,SF",60,14,0.428,3.8,0.877,0.8,0.7,4.6,1.3,1.2,0.6,0.2,0.5
Marvin Bagley III,DEN,"PF,C",68,19,0.599,6.3,0.660,2.2,0.3,9.3,5.6,1.2,0.4,0.7,0.9
Terance Mann,BKN,"SG,SF",60,16,0.478,4.3,0.745,0.8,0.6,5.3,2.2,1.8,0.5,0.2,0.6
Will Richard,GSW,"SG,SF",60,14,0.469,3.4,0.852,0.5,0.7,4.4,1.7,0.9,0.8,0.1,0.5
Luka Garza,BOS,C,60,14,0.557,4.9,0.747,1.6,0.7,7.4,3.6,0.9,0.4,0.4,0.7
Jordan Walsh,BOS,"SF,PF",70,20,0.474,4.3,0.747,0.9,0.8,5.5,4.2,0.9,0.8,0.5,0.7
Bones Hyland,MIN,"PG,SG",60,14,0.442,5.9,0.801,1.1,1.5,7.6,1.6,2.2,0.6,0.2,1.0
Craig Porter Jr.,CLE,"PG,SG",60,14,0.471,3.4,0.662,0.7,0.5,4.0,2.4,2.3,0.7,0.5,0.8
Caris LeVert,MIL,"SG,SF",52,15,0.445,9.0,0.780,2.2,1.3,11.0,3.2,3.2,0.9,0.3,1.5
Sion James,CHA,"SG,SF",65,16,0.371,3.2,0.841,0.9,0.8,3.9,2.5,1.5,0.5,0.2,0.6
Mike Conley,BOS,PG,55,16,0.380,4.1,0.892,0.9,1.1,4.8,1.7,2.8,0.6,0.1,0.6
Ben Sheppard,IND,"SG,SF",52,12,0.427,3.1,0.815,0.3,0.7,3.6,1.7,0.9,0.3,0.1,0.3
